ID, Band, BW, FREQ, CHN, Mode, RBO, RBS, UE, Peak Pwr,FE, EAO, EAI,MPR
140,LTE41W,5MHz,0,39750,QPSK,1,0,21.49642,25.04022,-8.834765,1,1,
141,LTE41W,5MHz,0,39750,QPSK,1,12,21.50434,25.03865,-12.43242,1,1,
142,LTE41W,5MHz,0,39750,QPSK,1,24,21.49955,25.08596,-14.19652,1,1,
143,LTE41W,5MHz,0,39750,QPSK,12,0,21.6444,26.84343,-11.24904,1,1,
144,LTE41W,5MHz,0,39750,QPSK,12,6,21.63989,26.55567,-9.224268,1,1,
145,LTE41W,5MHz,0,39750,QPSK,12,11,21.61212,26.65554,-12.86427,1,1,
146,LTE41W,5MHz,0,39750,QPSK,25,0,21.63205,27.19213,-13.0563,1,1,
147,LTE41W,5MHz,0,39750,16QAM,1,0,21.73881,27.01808,-7.799364,1,1,
148,LTE41W,5MHz,0,39750,16QAM,1,12,21.71922,26.9554,-12.69973,1,1,
149,LTE41W,5MHz,0,39750,16QAM,1,24,21.73086,27.03175,-15.68257,1,1,
150,LTE41W,5MHz,0,39750,16QAM,12,0,21.69041,27.49391,-13.32761,1,1,
151,LTE41W,5MHz,0,39750,16QAM,12,6,21.72207,27.47506,-8.548586,1,1,
152,LTE41W,5MHz,0,39750,16QAM,12,11,21.64726,27.42722,-13.54768,1,1,
153,LTE41W,5MHz,0,39750,16QAM,25,0,21.62869,27.81872,-12.17959,1,1,
168,LTE41W,5MHz,0,40185,QPSK,1,0,21.54762,25.10219,-11.84758,1,1,
169,LTE41W,5MHz,0,40185,QPSK,1,12,21.62922,25.11992,-11.71471,1,1,
170,LTE41W,5MHz,0,40185,QPSK,1,24,21.62456,25.15239,-14.49605,1,1,
171,LTE41W,5MHz,0,40185,QPSK,12,0,21.75308,26.73615,-12.61339,1,1,
172,LTE41W,5MHz,0,40185,QPSK,12,6,21.82385,26.70224,-8.364501,1,1,
173,LTE41W,5MHz,0,40185,QPSK,12,11,21.83825,26.79201,-14.30958,1,1,
174,LTE41W,5MHz,0,40185,QPSK,25,0,21.77702,27.2039,-8.302035,1,1,
175,LTE41W,5MHz,0,40185,16QAM,1,0,21.59243,27.16522,-11.19235,1,1,
176,LTE41W,5MHz,0,40185,16QAM,1,12,21.67089,27.16932,-10.19799,1,1,
177,LTE41W,5MHz,0,40185,16QAM,1,24,21.64486,27.18627,-12.16793,1,1,
178,LTE41W,5MHz,0,40185,16QAM,12,0,21.83069,27.70438,-12.02954,1,1,
179,LTE41W,5MHz,0,40185,16QAM,12,6,21.8594,27.59517,-13.81072,1,1,
180,LTE41W,5MHz,0,40185,16QAM,12,11,21.8321,27.58393,-15.72196,1,1,
181,LTE41W,5MHz,0,40185,16QAM,25,0,21.78843,27.99741,-13.96914,1,1,
196,LTE41W,5MHz,0,40620,QPSK,1,0,22.13029,25.68653,-10.61124,1,1,
197,LTE41W,5MHz,0,40620,QPSK,1,12,22.18235,25.61466,-10.71771,1,1,
198,LTE41W,5MHz,0,40620,QPSK,1,24,22.05549,25.5697,-14.80381,1,1,
199,LTE41W,5MHz,0,40620,QPSK,12,0,22.20213,27.21708,-9.764135,1,1,
200,LTE41W,5MHz,0,40620,QPSK,12,6,22.19227,27.0944,-11.20039,1,1,
201,LTE41W,5MHz,0,40620,QPSK,12,11,22.16182,27.13417,-11.64054,1,1,
202,LTE41W,5MHz,0,40620,QPSK,25,0,22.20807,27.60548,-12.63434,1,1,
203,LTE41W,5MHz,0,40620,16QAM,1,0,22.10904,27.72738,-11.49345,1,1,
204,LTE41W,5MHz,0,40620,16QAM,1,12,22.17966,27.62856,-13.77586,1,1,
205,LTE41W,5MHz,0,40620,16QAM,1,24,22.0994,27.68471,-12.59859,1,1,
206,LTE41W,5MHz,0,40620,16QAM,12,0,22.10654,28.12168,-15.01371,1,1,
207,LTE41W,5MHz,0,40620,16QAM,12,6,22.18508,28.07006,-11.35245,1,1,
208,LTE41W,5MHz,0,40620,16QAM,12,11,22.14359,28.13663,-12.94379,1,1,
209,LTE41W,5MHz,0,40620,16QAM,25,0,22.16199,28.51829,-11.83275,1,1,
224,LTE41W,5MHz,0,41055,QPSK,1,0,21.88409,25.46462,-11.22298,1,1,
225,LTE41W,5MHz,0,41055,QPSK,1,12,21.85819,25.35443,-14.10378,1,1,
226,LTE41W,5MHz,0,41055,QPSK,1,24,21.8377,25.39635,-9.026432,1,1,
227,LTE41W,5MHz,0,41055,QPSK,12,0,21.93925,27.19889,-11.28102,1,1,
228,LTE41W,5MHz,0,41055,QPSK,12,6,21.97003,26.97442,-12.35395,1,1,
229,LTE41W,5MHz,0,41055,QPSK,12,11,21.94508,27.04404,-13.16803,1,1,
230,LTE41W,5MHz,0,41055,QPSK,25,0,21.96092,27.86838,-13.04245,1,1,
231,LTE41W,5MHz,0,41055,16QAM,1,0,22.0095,27.39278,-13.50169,1,1,
